parserId,uses
stumpContentParser,3807
blankLineParser,1788
BlobParser,755
importOnlyParser,330
catchAllParagraphParser,216
quickRelativeLinkParser,173
lineOfCodeParser,164
stumpNoSnippetParser,159
quickLinkParser,154
baseUrlParser,111
rssFeedUrlParser,110
scrollDinkusParser,64
viewSourceBaseUrlParser,56
siteOwnerEmailParser,55
openGraphDescriptionParser,55
viewSourceButtonParser,54
metaTagsParser,54
h1Parser,53
buildTxtParser,52
printTitleParser,52
keyboardNavParser,52
scriptParser,51
quickScriptParser,51
copyButtonsParser,51
viewSourceLinkParser,51
buildHtmlParser,51
endColumnsParser,51
pageTitleParser,49
quickParagraphParser,48
listAftertextParser,47
scrollImageParser,47
scrollTagsParser,47
dateParser,46
printAuthorsParser,44
authorsParser,43
datelineParser,40
scrollQuestionParser,38
mediumColumnsParser,35
endSnippetParser,27
captionAftertextParser,27
linkParser,20
endOfPostDinkusParser,20
h2Parser,13
ohayoCodeParser,12
orderedListAftertextParser,12
printTableParser,10
scrollTableParser,10
wideColumnsParser,10
scrollTableDataParser,9
scrollTableDelimiterParser,9
openGraphImageParser,7
printDateParser,7
thinColumnsParser,6
quoteLineParser,5
slashCommentParser,5
scrollDashboardParser,4
openGraphParser,4
youTubeParser,3
observableParser,2
commentParser,2
italicsParser,2
htmlInlineParser,2
printSnippetsParser,2
codeParser,1
quoteParser,1
matchParser,1
printFeedParser,1
buildRssParser,1
printFullSnippetsParser,1
printUsageStatsParser,1
buildCsvParser,1
printSiteMapParser,1
