Top 1,000 Computer Languages
============================

Rankings explained · Explore all 5,155
 https://pldb.io/explorer.html Explore all 5,155
 https://pldb.io/../pages/the-rankings-algorithm.html Rankings explained

name,rank,appeared,tags,creators,foundationScore,inboundLinksCount,measurements,nameLink
F#,69,2005,pl,Don Syme,19,19,74,../concepts/f-sharp.html
Gleam,70,2016,pl,Louis Pilfold,3,3,42,../concepts/gleam.html
LLVM IR,71,2003,ir,Chris Lattner,24,31,34,../concepts/llvmir.html
HCL,72,2014,dataNotation,,16,16,34,../concepts/hcl.html
ClojureScript,73,2011,pl lisp,Rich Hickey,5,6,35,../concepts/clojurescript.html
Smalltalk,74,1972,pl,Alan Kay and Dan Ingalls and Adele Goldberg,11,11,46,../concepts/smalltalk.html
PureScript,75,2013,pl,Phil Freeman,3,4,41,../concepts/purescript.html
Git,76,2005,versionControlApplication,Linus Torvalds,0,1,27,../concepts/git.html
HAML,77,2006,template,Hampton Lintorn-Catlin,6,10,37,../concepts/haml.html
SVG,78,2001,textMarkup,,356,358,24,../concepts/svg.html
Tcl,79,1988,pl,John Ousterhout,20,23,51,../concepts/tcl.html
Liquid,80,2008,template,Tobias Lütke,5,5,27,../concepts/liquid.html
VHDL,81,1983,hardwareDescriptionLanguage,,5,5,45,../concepts/vhdl.html
MongoDB,82,2009,database,Eliot Horowitz and Dwight Merriman,0,1,27,../concepts/mongodb.html
Rescript,83,2020,pl,Hongbo Zhang,11,11,28,../concepts/rescript.html
JSON5,84,2012,dataNotation,Aseem Kishore,11,11,29,../concepts/json5.html
Idris,85,2014,pl,Edwin Brady,3,3,49,../concepts/idris.html
Odin,86,2016,pl,Bill Hall,4,4,33,../concepts/odin.html
Forth,87,1970,pl,Charles H. Moore,12,15,45,../concepts/forth.html
CMake,88,2000,application,,187,187,27,../concepts/cmake.html
Node.js,89,2009,pl,Ryan Dahl,0,0,39,../concepts/nodejs.html
Deno,90,2018,compiler,Ryan Dahl,0,1,31,../concepts/deno.html
Gradle,91,2008,application,Hans Dockter,56,56,19,../concepts/gradle.html
Protocol Buffers,92,2008,idl,,51,56,35,../concepts/protobuf.html
Visual Basic .NET,93,2001,pl,,4,4,32,../concepts/visual-basic.net.html
Ini,94,1987,dataNotation,,116,118,29,../concepts/ini.html
Org Mode,95,2003,textMarkup,Carsten Dominik,0,1,36,../concepts/org.html
Make,96,1976,pl application,Stuart Feldman,499,501,35,../concepts/make.html
Brainfuck,97,1993,esolang,Urban Müller,8,10,28,../concepts/brainfuck.html
APL,98,1964,pl arrayLang,Kenneth E. Iverson,4,11,39,../concepts/apl.html
ARM,99,1985,assembly,Sophie Wilson and Steve Furber,0,1,24,../concepts/arm.html
Yacc,100,1975,grammarLanguage compiler,Stephen C. Johnson,70,73,27,../concepts/yacc.html
Assembly language,101,1960,assembly,,104,104,17,../concepts/assembly-language.html
WordPress,102,2003,application,Matt Mullenweg and Mike Little,0,2,20,../concepts/wordpress.html
Embedded Crystal,103,2016,template,,4,4,23,../concepts/ecr.html
OpenCL,104,2009,pl,,10,10,28,../concepts/opencl.html
Scratch,105,2002,visual,John Maloney and Leo Burd and Yasmin B. Kafai and Natalie Rusk and Brian Silverman and Mitchel Resnick,0,3,26,../concepts/scratch.html
LaTeX,106,1985,textMarkup,Leslie Lamport,0,9,28,../concepts/latex.html
C3,107,2019,pl,Christoffer Lernö,0,1,109,../concepts/c3.html
Slim,108,2010,template, Andy Stone,5,5,25,../concepts/slim.html
Red,109,2011,pl,Nenad Rakocevic,0,1,39,../concepts/red.html
J,110,1990,pl arrayLang,Kenneth E. Iverson and Roger Hui,0,4,46,../concepts/j.html
SaltStack,111,2011,pl,Thomas S Hatch,4,4,20,../concepts/saltstack.html
SQLite,112,2000,queryLanguage,Dwayne Richard Hipp,0,1,38,../concepts/sqlite.html
Bazel,113,2015,application,Han-Wen Nienhuys,23,23,17,../concepts/bazel.html
fish,114,2005,pl,Axel Liljencrantz and Thorsten Ball,0,0,41,../concepts/fish.html
Lean,115,2015,pl mathematics,Leonardo de Moura,4,6,35,../concepts/lean.html
Arduino Programming Language,116,2005,pl,Massimo Banzi and David Cuartielles and Tom Igoe and Gianluca Martino and David Mellis,0,0,27,../concepts/arduino.html
Mojo,117,2022,pl,Chris Lattner,1,1,24,../concepts/mojo.html
HTTP,118,1989,protocol,Tim Berners-Lee,0,1,21,../concepts/http.html
Linux,119,1991,os,Linus Torvalds,0,0,24,../concepts/linux.html
Maple,120,1982,pl,,0,0,30,../concepts/maple.html
JQuery,121,2006,library,John Resig,0,0,24,../concepts/jquery.html
starlark,122,2018,pl,Laurent Le Brun,22,22,25,../concepts/starlark.html
MediaWiki,123,2002,wikiMarkup,,0,2,27,../concepts/mediawiki.html
Flow,124,2014,pl,Avik Chaudhuri,0,1,24,../concepts/flow.html
RobotFramework,125,2013,pl,,3,3,21,../concepts/robotframework.html
ANTLR,126,1992,grammarLanguage,Terence Parr,0,6,35,../concepts/antlr.html
sed,127,1974,pl,Lee E. McMahon,24,24,29,../concepts/sed.html
Redis,128,2009,application,Salvatore Sanfilippo,0,0,25,../concepts/redis.html
jq,129,2012,queryLanguage,Stephen Dolan,0,2,21,../concepts/jq.html
Standard ML,130,1990,pl,,14,15,33,../concepts/standard-ml.html
F*,131,2014,pl,,0,2,35,../concepts/fstar.html
IDL,132,1977,pl,David Stern,23,23,39,../concepts/idl.html
V,133,2019,pl,Alexander Medvednikov,0,0,30,../concepts/v.html
KaTeX,134,2013,textMarkup,Emily Eisenberg,0,2,22,../concepts/katex.html
Dhall,135,2017,dataNotation,,7,7,23,../concepts/dhall.html
Fennel,136,2016,pl lisp,Calvin Rose,5,5,29,../concepts/fennel.html
Stata,137,1985,pl,William Gould,2,3,34,../concepts/stata.html
Delphi,138,1995,pl,Anders Hejlsberg,0,0,45,../concepts/delphi.html
ABAP,139,1983,pl,,1,1,47,../concepts/abap.html
Z shell,140,1990,pl,Paul Falstad,21,21,34,../concepts/z-shell.html
