Name,Values,Coverage,Question,Example,Type,Source,SortIndex,IsComputed,IsRequired,IsConceptDelimiter,Crux
name,4,100%,What is the name of the livestream?,ThePrimeagen,string,,1,false,true,true,
started,4,100%,Year livestream began.,2019,number,,1.4,false,,,
twitchUrl,4,100%,A measure that contains a single word.,https://www.twitch.tv/theprimeagen,string,,1.9,false,,,
twitchUrl_subscribers,4,100%,,208000,number,,1.9,false,,,
youtubeUrl,1,25%,A measure that contains a single word.,https://www.youtube.com/c/theprimeagen,string,,1.9,false,,,
youtubeUrl_subscribers,1,25%,,404000,number,,1.9,false,,,
subscribers,0,0%,,,number,,1.9,false,,,
