name	started	twitchUrl	twitchUrl_subscribers	youtubeUrl	youtubeUrl_subscribers	subscribers
ThePrimeagen	2019	https://www.twitch.tv/theprimeagen	208000	https://www.youtube.com/c/theprimeagen	404000	
Notch	2011	https://www.twitch.tv/notch	52000			
j_blow	2014	https://www.twitch.tv/j_blow	50000			
geohot	2018	https://www.twitch.tv/georgehotz	81600			
