List of people who created a programming language
=================================================

Here is the list of 1,423 people who created a language(s) in PLDB.

Help us out by adding any missing information with a pull request.
 https://github.com/breck7/pldb/blob/main/creators/creators.scroll

Download as JSON | TSV | CSV
 https://pldb.io/lists/../creators/creators.json
 https://pldb.io/lists/../creators/creators.tsv
 https://pldb.io/lists/../creators/creators.csv

name|_$^links|_$^born|_$^languages|_$^count|_$^topRank
David Ungar|_$^|_$^1955|_$^Self|_$^1|_$^420
Travis E. Oliphant|_$^|_$^|_$^Numba|_$^1|_$^422
Mark Tarver|_$^|_$^|_$^Shen|_$^1|_$^424
John MacFarlane|_$^|_$^|_$^commonmark - Djot|_$^2|_$^425
Hongwei Xi|_$^|_$^|_$^ATS|_$^1|_$^430
Max Ogden|_$^|_$^|_$^dat-protocol|_$^1|_$^431
Vladimir Keleshev|_$^|_$^|_$^docopt|_$^1|_$^433
Pavel Avgustinov|_$^|_$^|_$^CodeQL|_$^1|_$^437
Ian Keough|_$^|_$^|_$^Dynamo|_$^1|_$^438
Hadley Wickham|_$^ home  |_$^1979|_$^tidyverse - dplyr|_$^2|_$^441
Naoya Hatta|_$^|_$^|_$^Veryl|_$^1|_$^443
Steve Dekorte|_$^|_$^|_$^Io|_$^1|_$^444
Karim Geiger|_$^|_$^|_$^SRL|_$^1|_$^445
Chris Done|_$^ home |_$^|_$^fay - Z - JSON lambda - Lucid|_$^4|_$^446
Sven Efftinge|_$^|_$^|_$^Xtend|_$^1|_$^447
Sebastian Zarnekow|_$^|_$^|_$^Xtend|_$^1|_$^447
Satoshi Murakami|_$^|_$^|_$^LiveScript - Coco|_$^2|_$^448
George Zahariev|_$^|_$^|_$^LiveScript|_$^1|_$^448
David Grudl|_$^|_$^|_$^Latte|_$^1|_$^449
Kevin Gadd|_$^|_$^|_$^jsil-compiler|_$^1|_$^450
Paul Graham|_$^|_$^1964|_$^Arc - Bel|_$^2|_$^455
Robert Morris|_$^|_$^|_$^Arc|_$^1|_$^455
Ilya Sher|_$^|_$^|_$^NGS|_$^1|_$^456
Ramsey Nasser|_$^|_$^|_$^Qalb|_$^1|_$^457
tomhrr|_$^|_$^|_$^Dale|_$^1|_$^460
Fredrik Hübinette|_$^|_$^|_$^Pike|_$^1|_$^462
Stuart Rackham|_$^|_$^|_$^AsciiDoc|_$^1|_$^465
Carsten Dominik|_$^|_$^|_$^Org|_$^1|_$^469
Yann Orlarey|_$^|_$^|_$^invokator|_$^1|_$^472
netcarver|_$^|_$^|_$^Textile|_$^1|_$^475
Avery Lee|_$^|_$^|_$^vdscript|_$^1|_$^478
Joe Gibbs Politz|_$^|_$^|_$^pyret - Pyret|_$^2|_$^481
Chris Pressey|_$^|_$^|_$^Befunge|_$^1|_$^483
Alex Russal|_$^|_$^|_$^Dojo|_$^1|_$^484
Lutz Mueller|_$^|_$^|_$^NewLisp|_$^1|_$^486
Christophe de Dinechin|_$^|_$^|_$^XL - tao3d - ELFE|_$^3|_$^487
Kemal Ebcioğlu|_$^|_$^|_$^X10|_$^1|_$^489
Saravanan Arumugam|_$^|_$^|_$^X10|_$^1|_$^489
Vijay Saraswat|_$^|_$^|_$^X10|_$^1|_$^489
Vivek Sarkar|_$^|_$^|_$^X10|_$^1|_$^489
Graham Nelson|_$^|_$^1968|_$^Inform - prompter|_$^2|_$^491
Paulo Moura|_$^|_$^|_$^Logtalk|_$^1|_$^492
Kyle Jessup|_$^|_$^|_$^Lasso|_$^1|_$^494
Gottfried Leibniz|_$^|_$^|_$^Binary notation|_$^1|_$^498
Timothy Canham|_$^|_$^|_$^F Prime|_$^1|_$^501
Vint Cerf|_$^home  |_$^1943|_$^TCP|_$^1|_$^502
Bob Kahn|_$^|_$^1938|_$^TCP|_$^1|_$^502
Ric Holt|_$^|_$^|_$^Turing - SP/k|_$^2|_$^503
Jan Wieck|_$^|_$^|_$^PL/pgSQL|_$^1|_$^504
Ralph Griswold|_$^|_$^1934|_$^Icon|_$^1|_$^508
David J. Pearce|_$^|_$^|_$^Whiley|_$^1|_$^512
Steve Ward|_$^|_$^|_$^Curl|_$^1|_$^513
Mark S. Miller|_$^|_$^1958|_$^E - Yedalog|_$^2|_$^516
Howard Chu|_$^|_$^|_$^lmdb|_$^1|_$^518
Vasily Tarasov|_$^|_$^|_$^Filebench WML|_$^1|_$^520
KS Sreeram|_$^|_$^|_$^clay|_$^1|_$^522
Joe Groff|_$^|_$^|_$^clay - FML - newclay|_$^3|_$^522
Steve Crocker|_$^|_$^1944|_$^RFC|_$^1|_$^523
Leonid Ryzhyk|_$^|_$^|_$^Differential Datalog|_$^1|_$^524
David Tarditi|_$^|_$^|_$^checked-c|_$^1|_$^530
Christine Lemmer-Webber|_$^|_$^|_$^ActivityPub|_$^1|_$^532
Jessica Tallon|_$^|_$^|_$^ActivityPub|_$^1|_$^532
Erin Shepherd|_$^|_$^|_$^ActivityPub|_$^1|_$^532
Amy Guy|_$^|_$^|_$^ActivityPub|_$^1|_$^532
Evan Prodromou|_$^|_$^|_$^ActivityPub|_$^1|_$^532
Rob Gordon|_$^|_$^|_$^flowchart.fun|_$^1|_$^534
Max Krohn|_$^|_$^|_$^IcedCoffeeScript|_$^1|_$^535
Barry J. Mailloux|_$^|_$^|_$^ALGOL 68|_$^1|_$^538
John E. L. Peck|_$^|_$^|_$^ALGOL 68|_$^1|_$^538
Cornelis H. A. Koster|_$^|_$^1943|_$^ALGOL 68 - Compiler Description Language|_$^2|_$^538
Muhammad Muzzammil|_$^|_$^|_$^JSON with Comments|_$^1|_$^540
Tim Disney|_$^|_$^|_$^contracts.coffee - Sweet.js|_$^2|_$^541
Frank van Viegen|_$^|_$^|_$^BlackCoffee|_$^1|_$^543
Feng Lee|_$^|_$^|_$^hamler|_$^1|_$^547
Andreas Jönsson|_$^|_$^|_$^Angelscript|_$^1|_$^548
Ge Wang|_$^|_$^|_$^Ch|_$^1|_$^550
cpc6128|_$^|_$^|_$^Linotte|_$^1|_$^553
Simon Peyton Jones|_$^|_$^|_$^C-- - Verse|_$^2|_$^555
Jacob Vanderplas|_$^|_$^|_$^astroml|_$^1|_$^556
Samuel Morse|_$^|_$^|_$^Morse code|_$^1|_$^561
Charles Esterbrook|_$^|_$^|_$^Cobra|_$^1|_$^565
Rob Koch|_$^|_$^|_$^Markwhen|_$^1|_$^572
Jeremy Pierre|_$^|_$^|_$^Alpaca|_$^1|_$^573
Alexis King|_$^|_$^|_$^Hackett|_$^1|_$^574
Philippe Tillet|_$^|_$^|_$^Triton|_$^1|_$^577
Anthony Diamond|_$^|_$^|_$^Monkey|_$^1|_$^581
Kai Schmidt|_$^|_$^|_$^Uiua|_$^1|_$^584
Gérard Huet|_$^|_$^|_$^Caml|_$^1|_$^586
Guy Cousineau|_$^|_$^|_$^Caml|_$^1|_$^586
Ascánder Suárez|_$^|_$^|_$^Caml|_$^1|_$^586
Pierre Weis|_$^|_$^|_$^Caml|_$^1|_$^586
Michel Mauny|_$^|_$^|_$^Caml|_$^1|_$^586
Jeremy Cowgar|_$^|_$^|_$^Euphoria|_$^1|_$^587
Robert Craig|_$^|_$^|_$^Euphoria|_$^1|_$^587
Matt Lewis|_$^|_$^|_$^Euphoria|_$^1|_$^587
Derek Parnell|_$^|_$^|_$^Euphoria|_$^1|_$^587
Yoann Padioleau|_$^|_$^|_$^Semantic Patch Language - merd|_$^2|_$^592
Cyrus Omar|_$^|_$^|_$^hazel|_$^1|_$^594
Aubrey Jaffer|_$^|_$^|_$^Guile - SCM|_$^2|_$^596
Tom Lord|_$^|_$^|_$^Guile|_$^1|_$^596
Miles Bader|_$^|_$^|_$^Guile|_$^1|_$^596
Stepan Mitkin|_$^|_$^|_$^DRAKON|_$^1|_$^599
Yoav Lavi|_$^|_$^|_$^Melody|_$^1|_$^603
David J. Farber|_$^|_$^|_$^SNOBOL - SNOBOL4 - SNOBOL3|_$^3|_$^604
Ralph E. Griswold|_$^|_$^|_$^SNOBOL - SNOBOL4 - SNOBOL3|_$^3|_$^604
Jean-Michaël Celerier|_$^|_$^|_$^score|_$^1|_$^607
Kevin Hammond|_$^ |_$^|_$^GHC|_$^1|_$^608
Stuart Popejoy|_$^|_$^|_$^Pact|_$^1|_$^611
Ben Olmstead|_$^|_$^|_$^Malbolge|_$^1|_$^615
Martin Porter|_$^|_$^|_$^Snowball|_$^1|_$^616
Alexander Aiken|_$^|_$^|_$^Classroom Object Oriented Language|_$^1|_$^621
Michael Ficarra|_$^|_$^|_$^EmberScript|_$^1|_$^627
Gordon L. Hempton|_$^|_$^|_$^EmberScript|_$^1|_$^627
Rijnard van Tonder|_$^|_$^|_$^comby|_$^1|_$^628
Olivier Breuleux|_$^|_$^|_$^Earl Grey - Quaint - Liso|_$^3|_$^629
Satoshi Egi|_$^|_$^|_$^Egison|_$^1|_$^630
Antonio Linares|_$^|_$^|_$^Harbour|_$^1|_$^631
Eli Luberoff|_$^|_$^|_$^Desmos|_$^1|_$^633
Göran Krampe|_$^|_$^|_$^spry|_$^1|_$^640
Wouter Van Oortmerssen|_$^ home |_$^|_$^lobster - TreeSheets - Amiga E - False - Bla - Sheep - Aardappel|_$^7|_$^644
Dan Winkler|_$^|_$^|_$^HyperTalk|_$^1|_$^648
Jeremy Allaire|_$^|_$^|_$^CFML|_$^1|_$^652
Alexander Burger|_$^|_$^|_$^PicoLisp|_$^1|_$^656
Giancarlo Niccolai|_$^|_$^|_$^Falcon|_$^1|_$^662
Philip Hazel|_$^|_$^|_$^PCRE|_$^1|_$^664
Charles Loomis|_$^|_$^|_$^Pan|_$^1|_$^665
Andre Victor|_$^|_$^|_$^FreeBASIC|_$^1|_$^671
Karl Stenerud|_$^|_$^|_$^Concise Encoding|_$^1|_$^673
Alon Gubkin|_$^|_$^|_$^spider|_$^1|_$^674
Drew Morris|_$^|_$^|_$^Hodor|_$^1|_$^675
David Koeplinger|_$^|_$^|_$^Spatial|_$^1|_$^677
Sean Baxter|_$^|_$^|_$^circle-lang|_$^1|_$^680
Jarrett Billingsley|_$^|_$^|_$^Croc - MiniD|_$^2|_$^682
Yuan Chuan|_$^|_$^|_$^CSS Doodle|_$^1|_$^684
Jonathan Gillette|_$^|_$^|_$^Potion|_$^1|_$^686
David May|_$^|_$^1951|_$^Occam|_$^1|_$^687
Martin Šošić|_$^|_$^|_$^Wasp|_$^1|_$^696
David Betz|_$^|_$^|_$^AutoLISP|_$^1|_$^697
Jurgen A. Doornik|_$^|_$^|_$^OX|_$^1|_$^699
Shunsuke Shibayama|_$^|_$^|_$^erg|_$^1|_$^701
Mark Waddingham|_$^|_$^|_$^Revolution|_$^1|_$^702
Doug Moen|_$^|_$^|_$^curv|_$^1|_$^703
Jamie McCracken|_$^|_$^|_$^Genie|_$^1|_$^705
Thomas Mertes|_$^|_$^|_$^Seed7|_$^1|_$^711
Anton Ekblad|_$^|_$^|_$^haste|_$^1|_$^714
Yehuda Katz|_$^|_$^|_$^Nushell|_$^1|_$^718
Dan Onoshko|_$^|_$^|_$^ColaScript|_$^1|_$^722
Nurullah Akkaya|_$^|_$^|_$^ferret|_$^1|_$^723
Lars Marius Garshol|_$^|_$^|_$^JSLT|_$^1|_$^726
Eduardo Julián|_$^|_$^|_$^Lux|_$^1|_$^730
Ben Morris|_$^|_$^|_$^kitlang|_$^1|_$^732
Amit Kapoor|_$^|_$^|_$^visdown|_$^1|_$^733
Marshall Lochbaum|_$^ home|_$^|_$^BQN - I|_$^2|_$^734
David Christiansen|_$^|_$^|_$^pie-lang|_$^1|_$^735
Qichao Lan|_$^|_$^|_$^Glicol|_$^1|_$^738
Felix Winkelmann|_$^|_$^|_$^CHICKEN|_$^1|_$^740
David Madore|_$^|_$^|_$^UNLAMBDA|_$^1|_$^741
官文亮|_$^|_$^|_$^Berry|_$^1|_$^744
Piotr Fusik|_$^|_$^|_$^Ć|_$^1|_$^748
Andy Van Den Heuvel|_$^|_$^|_$^koara|_$^1|_$^752
J Rain De Jager|_$^|_$^|_$^Oxyl|_$^1|_$^753
Nora Sandler|_$^|_$^|_$^Not Quite C|_$^1|_$^756
Maxim Kim|_$^|_$^|_$^Vimwiki|_$^1|_$^757
Benoit Giannangeli|_$^|_$^|_$^buzz|_$^1|_$^758
Kalani Thielen|_$^|_$^|_$^hobbes|_$^1|_$^759
Michael Hanus|_$^|_$^|_$^Curry|_$^1|_$^760
Sergio Antoy|_$^|_$^|_$^Curry|_$^1|_$^760
Barbara Liskov|_$^|_$^1939|_$^CLU|_$^1|_$^761
Jonathan Goodwin|_$^|_$^|_$^Cone - acorn-lang|_$^2|_$^763
Marko Grdinić|_$^|_$^|_$^spiral|_$^1|_$^766
Randall Hyde|_$^|_$^|_$^High Level Assembly|_$^1|_$^770
Tim Burks|_$^|_$^|_$^Nu|_$^1|_$^771
Richard E. Pattis|_$^|_$^|_$^Karel|_$^1|_$^773
Lars Pensjö|_$^|_$^1963|_$^LPC|_$^1|_$^777
David Turner|_$^|_$^|_$^Miranda - KRC - SASL|_$^3|_$^781
Rui Ueyama|_$^|_$^|_$^chibicc|_$^1|_$^782
John Sundell|_$^|_$^|_$^Plot|_$^1|_$^784
Manfred von Thun|_$^|_$^|_$^Joy|_$^1|_$^786
Miao Jiang|_$^|_$^|_$^ToffeeScript|_$^1|_$^788
Roman I. Kuzmin|_$^|_$^|_$^heap.coffee - Caffeine|_$^2|_$^791
Paul Mockapetris|_$^|_$^|_$^DNS|_$^1|_$^796
Mertcan Davulcu|_$^|_$^|_$^Jule|_$^1|_$^800
Dylan Beattie|_$^|_$^|_$^Rockstar|_$^1|_$^801
Ludwig Stecher|_$^|_$^|_$^Pomsky|_$^1|_$^802
Mike Pall|_$^|_$^|_$^LuaJIT - raptorjit|_$^2|_$^803
Ken Kundert|_$^|_$^|_$^NestedText|_$^1|_$^806
Viktor Turskyi|_$^|_$^|_$^Livr|_$^1|_$^811
Reini Urban|_$^|_$^|_$^cperl|_$^1|_$^812
Zachary Carter|_$^|_$^|_$^Jison Lex|_$^1|_$^813
lyxal|_$^|_$^|_$^Vyxal|_$^1|_$^814
Arvid E. Picciani|_$^|_$^|_$^zz|_$^1|_$^817
Denis Merigoux|_$^|_$^|_$^Catala|_$^1|_$^818
Manuel Odendahl|_$^|_$^|_$^Parenscript|_$^1|_$^822
Edward Marco Baringer|_$^|_$^|_$^Parenscript|_$^1|_$^822
Hanspeter Mössenböck|_$^|_$^|_$^Oberon-2|_$^1|_$^824
Philippe Mougin|_$^|_$^|_$^F-Script|_$^1|_$^825
David Crawshaw|_$^|_$^|_$^HuJSON|_$^1|_$^828
Aaron Hsu|_$^|_$^|_$^co-dfns|_$^1|_$^832
Dan Romero|_$^|_$^|_$^Farcaster|_$^1|_$^837
Varun Srinivasan|_$^|_$^|_$^Farcaster|_$^1|_$^837
Claudio Guidi|_$^|_$^|_$^Jolie|_$^1|_$^838
Fabrizio Montesi|_$^|_$^|_$^Jolie|_$^1|_$^838
Brian Chen|_$^|_$^|_$^noulith|_$^1|_$^839
Samuel Smith|_$^|_$^|_$^FloScript|_$^1|_$^842
Jacob T. Schwartz|_$^|_$^|_$^SETL - ISETL|_$^2|_$^846
Alessandro Nadalin|_$^|_$^|_$^abs|_$^1|_$^848
Andrey Ershov|_$^|_$^|_$^Rapira|_$^1|_$^850
Jovansonlee Cesar|_$^|_$^|_$^svgbob|_$^1|_$^851
Thomas Jaeger|_$^|_$^|_$^MASM|_$^1|_$^853
Peter Krautzberger|_$^|_$^|_$^AsciiMath|_$^1|_$^855
Jakob Olesen|_$^|_$^|_$^Cranelift|_$^1|_$^856
Jens Haase|_$^|_$^|_$^Phel|_$^1|_$^863
Oskar Wickström|_$^|_$^|_$^oden|_$^1|_$^864
Martín del Río|_$^|_$^|_$^ldpl|_$^1|_$^865
Bent Bruun Kristensen|_$^|_$^|_$^BETA|_$^1|_$^866
Ole Lehrmann Madsen|_$^|_$^|_$^BETA|_$^1|_$^866
Birger Møller-Pedersen|_$^|_$^|_$^BETA|_$^1|_$^866
Kristen Nygaard|_$^|_$^|_$^BETA|_$^1|_$^866
ChenYong|_$^|_$^|_$^Cirru|_$^1|_$^869
Linus Lee|_$^|_$^|_$^ink-lang - Tabloid|_$^2|_$^873
Clint Jeffery|_$^|_$^|_$^Unicon|_$^1|_$^876
Dean Mao|_$^|_$^|_$^YAWL|_$^1|_$^877
Christopher Strachey|_$^|_$^|_$^CPL|_$^1|_$^878
Ian Grant Jeffries|_$^|_$^|_$^son|_$^1|_$^880
Dominic Tarr|_$^|_$^|_$^Hyperscript|_$^1|_$^884
Chris Hawblitzel|_$^|_$^|_$^Vale|_$^1|_$^886
Khaled Mardam-Bey|_$^|_$^|_$^MIRC scripting language|_$^1|_$^887
Benoît Minisini|_$^|_$^|_$^Gambas|_$^1|_$^888
James Siri|_$^|_$^|_$^partiql|_$^1|_$^893
Ian Ward|_$^|_$^|_$^JSON Lines|_$^1|_$^894
Fernando Borretti|_$^|_$^|_$^Austral|_$^1|_$^899
Tomoya Matsuura|_$^|_$^|_$^mimium|_$^1|_$^903
Victor Nakoryakov|_$^|_$^|_$^xodio|_$^1|_$^909
Tom Duff|_$^|_$^|_$^Rc|_$^1|_$^910
Yorick Peterse|_$^|_$^|_$^inko|_$^1|_$^912
Dejan Muhamedagic|_$^|_$^|_$^crmsh|_$^1|_$^916
Arlen Cuss|_$^|_$^|_$^Rouge|_$^1|_$^920
Tima Kinsart|_$^|_$^|_$^Metalang99|_$^1|_$^923
Steve Omohundro|_$^|_$^1959|_$^Sather|_$^1|_$^925
Joe Ossanna|_$^|_$^1928|_$^ROFF - nroff|_$^2|_$^929
David Weininger|_$^|_$^|_$^Smiles - SMILES arbitrary target specification|_$^2|_$^931
Magnus Madsen|_$^|_$^|_$^Flix|_$^1|_$^933
Eyal Lotem|_$^|_$^|_$^Lamdu|_$^1|_$^935
Yair Chuchem|_$^|_$^|_$^Lamdu|_$^1|_$^935
Mike Jenkins|_$^|_$^|_$^Nial|_$^1|_$^936
Leandro T. C. Melo|_$^|_$^|_$^psyche-c|_$^1|_$^949
Jacob Rothstein|_$^|_$^|_$^Sibilant|_$^1|_$^950
Michael Fogus|_$^|_$^|_$^baysick|_$^1|_$^952
Sascha-Oliver Prolic|_$^|_$^|_$^Functional PHP Preprocessor|_$^1|_$^955
Jakub Martin|_$^|_$^|_$^JSON Query Language|_$^1|_$^957
Michael Arntzenius|_$^|_$^|_$^datafun|_$^1|_$^958
Maxime Chevalier-Boisvert|_$^ home |_$^|_$^noisecraft - KavaScript - weebasic - Plush|_$^4|_$^960
Felix Angell|_$^|_$^|_$^jayfor|_$^1|_$^963
Brandon Barber|_$^|_$^|_$^Nymph - exkited|_$^2|_$^970
Matthew Mueller|_$^|_$^|_$^Superjson|_$^1|_$^972
Rohan Singh|_$^|_$^|_$^Mond|_$^1|_$^973
Muthu Annamalai|_$^|_$^|_$^Ezhil|_$^1|_$^974
Chris Hinsley|_$^|_$^|_$^chrysaLisp|_$^1|_$^980
Jason Steving|_$^|_$^|_$^Claro|_$^1|_$^982
David Nichols|_$^|_$^|_$^Qore|_$^1|_$^986
Franziskus Kiefer|_$^|_$^|_$^hacspec|_$^1|_$^988
Corey Montella|_$^|_$^|_$^Mech|_$^1|_$^991
Valentin Turchin|_$^|_$^|_$^Refal|_$^1|_$^992
Charles Goldfarb|_$^|_$^1939|_$^GML|_$^1|_$^1004
Edward Mosher|_$^|_$^|_$^GML|_$^1|_$^1004
Raymond Lorie|_$^|_$^|_$^GML|_$^1|_$^1004
pabuhr|_$^|_$^|_$^ΜC++|_$^1|_$^1006
Avery N. Nortonsmith|_$^|_$^|_$^pointless|_$^1|_$^1007
David H. Munro|_$^|_$^|_$^Yorick|_$^1|_$^1009
Alexey Krivonogov|_$^|_$^|_$^gentee|_$^1|_$^1010
Elucian Moise|_$^|_$^|_$^bee|_$^1|_$^1014
Richard Feldman|_$^|_$^|_$^Roc|_$^1|_$^1016
Martin Büttner|_$^|_$^|_$^hexagony|_$^1|_$^1017
Deian Stefan|_$^|_$^|_$^FaCT|_$^1|_$^1020
Cameron Knight|_$^|_$^|_$^GorillaScript|_$^1|_$^1022
Leif Andersen|_$^|_$^|_$^video|_$^1|_$^1024
Robert S. Boyer|_$^|_$^|_$^ACL2|_$^1|_$^1025
J Strother Moore|_$^|_$^|_$^ACL2|_$^1|_$^1025
Felix Zumstein|_$^|_$^|_$^xlwings-editor|_$^1|_$^1028
evancz|_$^|_$^|_$^Gren|_$^1|_$^1032
Alex Rakov|_$^|_$^|_$^elena|_$^1|_$^1033
Isaac Cayton (slightknack)|_$^|_$^|_$^Passerine|_$^1|_$^1036
Leandro Ostera|_$^|_$^|_$^Caramel|_$^1|_$^1044
Grégoire Henry|_$^|_$^|_$^michelson|_$^1|_$^1046
kujirahand|_$^|_$^|_$^Nadesiko|_$^1|_$^1049
Pavan Kumar Sunkara|_$^|_$^|_$^semicolon|_$^1|_$^1050
William Wulf|_$^|_$^|_$^BLISS|_$^1|_$^1055
Daniel G. Bobrow|_$^|_$^|_$^KRL - Interlisp|_$^2|_$^1056
Terry Winograd|_$^|_$^|_$^KRL|_$^1|_$^1056
Ivan Herman|_$^|_$^|_$^CSVw|_$^1|_$^1058
Andrew Fedoniouk|_$^|_$^|_$^TIScript - c-smile|_$^2|_$^1060
Jayadev Misra|_$^|_$^|_$^Orc|_$^1|_$^1061
Richard Merrill|_$^|_$^|_$^Formulating On-Line Calculations in Algebraic Language|_$^1|_$^1069
Christopher Diggins|_$^|_$^|_$^cat - Heron|_$^2|_$^1071
Jonathan Sterling|_$^|_$^|_$^redprl - jonprl|_$^2|_$^1073
Albert Gräf|_$^|_$^|_$^Pure - Q|_$^2|_$^1076
Patrick Michaud|_$^home|_$^|_$^Rakudo|_$^1|_$^1078
JamesBoer|_$^|_$^|_$^jinx|_$^1|_$^1079
Peter Landin|_$^|_$^|_$^ISWIM|_$^1|_$^1082
John Carmack|_$^|_$^|_$^QuakeC|_$^1|_$^1084
Joe Eli McIlvain|_$^|_$^|_$^Savi|_$^1|_$^1085
Konstantin Morshnev|_$^|_$^|_$^Parser 3|_$^1|_$^1087
Conor McBride|_$^|_$^|_$^Epigram - Frank|_$^2|_$^1088
Norman Ramsey|_$^|_$^|_$^Noweb|_$^1|_$^1092
Tianqi Chen|_$^|_$^|_$^XGBoost|_$^1|_$^1096
Vasiliy Tereshkov|_$^|_$^|_$^Umka|_$^1|_$^1105
John Conway|_$^|_$^|_$^FRACTRAN - Conway chained arrow notation|_$^2|_$^1108
Ben L. Titzer|_$^|_$^|_$^Virgil|_$^1|_$^1110
Richard Dimick Jenks|_$^|_$^|_$^Aldor|_$^1|_$^1111
Barry Trager|_$^|_$^|_$^Aldor|_$^1|_$^1111
Stephen Watt|_$^|_$^|_$^Aldor|_$^1|_$^1111
James Davenport|_$^|_$^|_$^Aldor|_$^1|_$^1111
Robert Sutor|_$^|_$^|_$^Aldor|_$^1|_$^1111
Scott Morrison|_$^|_$^|_$^Aldor|_$^1|_$^1111
Juan Benet|_$^ home |_$^|_$^InterPlanetary File System - multibase|_$^2|_$^1114
Brendan Zabarauskas|_$^|_$^|_$^pikelet|_$^1|_$^1117
Christopher Goes|_$^|_$^|_$^juvix|_$^1|_$^1118
Petar Maymounkov|_$^|_$^|_$^ko|_$^1|_$^1120
Perry Greenfield|_$^|_$^|_$^ASDF|_$^1|_$^1123
Michael Droettboom|_$^|_$^|_$^ASDF|_$^1|_$^1123
Erik M. Bray|_$^|_$^|_$^ASDF|_$^1|_$^1123
Yosbel Marin|_$^|_$^|_$^cor|_$^1|_$^1128
Jan Heuermann|_$^|_$^|_$^[x]it!|_$^1|_$^1130
Fedor Indutny|_$^|_$^|_$^candor|_$^1|_$^1131
Alex Gamburg|_$^|_$^|_$^Margin|_$^1|_$^1132
Gabriel Bastos|_$^|_$^|_$^Hush|_$^1|_$^1133
Zhicheng Wei|_$^|_$^|_$^Lemon|_$^1|_$^1135
unitpoint|_$^|_$^|_$^ObjectScript|_$^1|_$^1136
Juan Batiz-Benet|_$^|_$^|_$^multiaddr - multicodec|_$^2|_$^1137
Marc Schellens|_$^|_$^|_$^GNU Data Language|_$^1|_$^1139
Johannes J. Bisschop|_$^|_$^|_$^AIMMS|_$^1|_$^1143
Marcel Roelofs|_$^|_$^|_$^AIMMS|_$^1|_$^1143
Daniel Bonniot|_$^|_$^|_$^Nice|_$^1|_$^1145
Ron Morrison|_$^|_$^|_$^S-algol|_$^1|_$^1149
Tony Davie|_$^|_$^|_$^S-algol|_$^1|_$^1149
Sam Tobin-Hochstadt|_$^|_$^|_$^Pycket|_$^1|_$^1151
Simon C. Nash|_$^|_$^|_$^Object Rexx|_$^1|_$^1152
Tom MacWright|_$^|_$^|_$^wah|_$^1|_$^1156
Tamreen Khan|_$^|_$^|_$^Pharen|_$^1|_$^1158
Walter Smith|_$^|_$^|_$^NewtonScript|_$^1|_$^1173
Federico Ramirez|_$^|_$^|_$^pasukon|_$^1|_$^1177
Alex Browne|_$^|_$^|_$^fo|_$^1|_$^1183
Takashi Suwa|_$^|_$^|_$^SATySFi|_$^1|_$^1192
Will McGugan|_$^|_$^|_$^moya|_$^1|_$^1199
Sandro Lovnički|_$^|_$^|_$^plam|_$^1|_$^1202
Alex Protasov|_$^|_$^|_$^manool|_$^1|_$^1203
Mark P. McCahill|_$^|_$^|_$^Gopher|_$^1|_$^1204
Farhad Anklesaria|_$^|_$^|_$^Gopher|_$^1|_$^1204
Paul Lindner|_$^|_$^|_$^Gopher|_$^1|_$^1204
Daniel Torrey|_$^|_$^|_$^Gopher|_$^1|_$^1204
Bob Alberti|_$^|_$^|_$^Gopher|_$^1|_$^1204
Michael F. King|_$^|_$^|_$^ProvideX|_$^1|_$^1205
Larry McVoy|_$^|_$^|_$^little|_$^1|_$^1207
Richard Newman|_$^|_$^|_$^Project Mentat|_$^1|_$^1211
Mark Summerfield|_$^|_$^|_$^Uniform eXchange Format|_$^1|_$^1216
Maxim Gumin|_$^|_$^|_$^MarkovJunior|_$^1|_$^1219
Carl Mäsak|_$^|_$^|_$^Alma|_$^1|_$^1222
Robert Fratto|_$^|_$^|_$^orange|_$^1|_$^1224
Denis Stebunov|_$^|_$^|_$^djangoql|_$^1|_$^1225
James McGraw|_$^|_$^|_$^SISAL|_$^1|_$^1228
Caleb Helbling|_$^|_$^|_$^juniper|_$^1|_$^1230
Brian Harvey|_$^|_$^|_$^Snap!|_$^1|_$^1236
Primitivo R. Montero|_$^|_$^|_$^latino|_$^1|_$^1238
Jason Erb|_$^|_$^|_$^Om|_$^1|_$^1239
Roger Poon|_$^|_$^|_$^JS++|_$^1|_$^1241
Anton Rapetov|_$^|_$^|_$^JS++|_$^1|_$^1241
Enrico Tassi|_$^|_$^|_$^Elpi|_$^1|_$^1243
Þorvaldur Rúnarsson|_$^|_$^|_$^zolang|_$^1|_$^1249
Marco Spedaletti|_$^|_$^|_$^ugBASIC|_$^1|_$^1253
Nelo Mitranim|_$^|_$^|_$^Jisp|_$^1|_$^1259
Carl Hewitt|_$^|_$^|_$^PLANNER|_$^1|_$^1260
John D. Hobby|_$^|_$^|_$^METAPOST|_$^1|_$^1262
Marko A. Rodriguez|_$^|_$^|_$^Gremlin|_$^1|_$^1265
David Gelernter|_$^|_$^|_$^Linda|_$^1|_$^1267
Olle Fredriksson|_$^|_$^|_$^sixten|_$^1|_$^1269
Henrique Gogó|_$^|_$^|_$^Kamby|_$^1|_$^1275
Konrad Zuse|_$^|_$^1910|_$^Plankalkul|_$^1|_$^1276
Tim Williams|_$^|_$^|_$^expresso|_$^1|_$^1277
Gilad Bracha|_$^|_$^|_$^Newspeak|_$^1|_$^1278
Elad Ben-Israel|_$^|_$^|_$^Wing|_$^1|_$^1281
