List of File Extensions
=======================

Here is the list of 1,761 unique file extensions across 808 languages in PLDB.

name|_$^nameLink|_$^extensions|_$^numberOfExtensions
Nix|_$^../concepts/nix.html|_$^nix|_$^1
Java Properties|_$^../concepts/java-properties.html|_$^properties|_$^1
Objective C++|_$^../concepts/objective-cpp.html|_$^mm hh|_$^2
Uiua|_$^../concepts/uiua.html|_$^ua|_$^1
FoxPRO|_$^../concepts/foxpro.html|_$^PRG prg|_$^2
Filebench WML|_$^../concepts/filebench-wml.html|_$^f|_$^1
UrWeb|_$^../concepts/urweb.html|_$^ur urs|_$^2
JSON with Comments|_$^../concepts/json-with-comments.html|_$^jsonc code-snippets sublime-build sublime-commands sublime-completions sublime-keymap sublime-macro sublime-menu sublime-mousemap sublime-project sublime-settings sublime-theme sublime-workspace sublime_metrics sublime_session|_$^15
JScript|_$^../concepts/jscript.html|_$^js jse wsf wsc|_$^4
S|_$^../concepts/s.html|_$^S R .Rhistory .Rprofile .Renviron|_$^5
Angelscript|_$^../concepts/angelscript.html|_$^as angelscript|_$^2
DTD|_$^../concepts/dtd.html|_$^dtd|_$^1
Stan|_$^../concepts/stan.html|_$^stan|_$^1
IGOR Pro|_$^../concepts/igor-pro.html|_$^ipf|_$^1
Cobra|_$^../concepts/cobra.html|_$^cobra|_$^1
AsciiDoc|_$^../concepts/asciidoc.html|_$^adoc asciidoc asc|_$^3
Easybuild|_$^../concepts/easybuild.html|_$^eb|_$^1
Limbo|_$^../concepts/limbo.html|_$^b m|_$^2
Ch|_$^../concepts/chuck.html|_$^ck|_$^1
Rascal|_$^../concepts/rascal.html|_$^rsc|_$^1
GDScript|_$^../concepts/gdscript.html|_$^gd|_$^1
Monkey|_$^../concepts/monkey.html|_$^monkey monkey2|_$^2
Gherkin|_$^../concepts/gherkin.html|_$^feature story|_$^2
basic calculator|_$^../concepts/bc.html|_$^bc|_$^1
Logos|_$^../concepts/logos.html|_$^x xm xi xmi|_$^4
OpenEdge ABL|_$^../concepts/openedge-advanced-business-language.html|_$^p cls w|_$^3
Euphoria|_$^../concepts/euphoria.html|_$^e ex exw edb|_$^4
Egison|_$^../concepts/egison.html|_$^egi|_$^1
Semantic Patch Language|_$^../concepts/smpl.html|_$^cocci|_$^1
GDB|_$^../concepts/gdb.html|_$^gdb gdbinit|_$^2
XSLT|_$^../concepts/xslt.html|_$^XSL xsl XSLT xslt xpl|_$^5
Earl Grey|_$^../concepts/earl-grey.html|_$^eg|_$^1
SNOBOL|_$^../concepts/snobol.html|_$^snobol|_$^1
BlitzBasic|_$^../concepts/blitzbasic.html|_$^bb decls|_$^2
BNF|_$^../concepts/bnf.html|_$^bnf|_$^1
Objective-J|_$^../concepts/objective-j.html|_$^j sj|_$^2
nesC|_$^../concepts/nesc.html|_$^nc|_$^1
spider|_$^../concepts/spider.html|_$^spider|_$^1
EmberScript|_$^../concepts/emberscript.html|_$^em emberscript|_$^2
Classroom Object Oriented Language|_$^../concepts/cool.html|_$^cl|_$^1
BibTeX|_$^../concepts/bibtex.html|_$^bib bibtex|_$^2
Snowball|_$^../concepts/snowball-programming-language.html|_$^sbl|_$^1
Harbour|_$^../concepts/harbour.html|_$^hb prg ch hbp|_$^4
ERB|_$^../concepts/erb.html|_$^ERB erb erbdeface rhtml|_$^4
Ragel|_$^../concepts/ragel.html|_$^rl|_$^1
Ligo|_$^../concepts/ligo.html|_$^religo|_$^1
Alloy|_$^../concepts/alloy.html|_$^als|_$^1
KiCad Legacy Layout|_$^../concepts/kicad.html|_$^sch lib brd kicad_pcb kicad_wks kicad_mod|_$^6
Volt|_$^../concepts/volt.html|_$^volt|_$^1
CIL|_$^../concepts/cilk.html|_$^cil|_$^1
Max|_$^../concepts/max.html|_$^maxpat maxhelp maxproj mxt pat|_$^5
Handlebars|_$^../concepts/handlebars.html|_$^handlebars hbs|_$^2
Pan|_$^../concepts/pan.html|_$^pan tpl|_$^2
Apex|_$^../concepts/apex.html|_$^cls|_$^1
CFML|_$^../concepts/cfml.html|_$^cfm cfc|_$^2
Pure Data|_$^../concepts/puredata.html|_$^pd|_$^1
Ren'Py|_$^../concepts/renpy.html|_$^rpy|_$^1
MQL5|_$^../concepts/mql.html|_$^mq5 mqh mq4|_$^3
Mask|_$^../concepts/maskjs.html|_$^mask|_$^1
Croc|_$^../concepts/croc.html|_$^croc|_$^1
Slash|_$^../concepts/slash.html|_$^sl sla|_$^2
Clarion|_$^../concepts/clarion.html|_$^clw|_$^1
Cypher Query Language|_$^../concepts/cypher.html|_$^cyp cypher|_$^2
Lux|_$^../concepts/lux.html|_$^lux|_$^1
Falcon|_$^../concepts/falcon.html|_$^ftd fal fam|_$^3
JSLT|_$^../concepts/jslt.html|_$^jslt|_$^1
PicoLisp|_$^../concepts/picolisp.html|_$^l|_$^1
OX|_$^../concepts/ox.html|_$^ox oxh oxo|_$^3
Gettext Catalog|_$^../concepts/gettext.html|_$^po pot|_$^2
Velocity|_$^../concepts/apache-velocity.html|_$^vm fhtml|_$^2
Genie|_$^../concepts/genie.html|_$^gs|_$^1
C shell|_$^../concepts/c-shell.html|_$^csh tcsh|_$^2
muPad|_$^../concepts/mupad.html|_$^mu|_$^1
Tea|_$^../concepts/tea.html|_$^tea|_$^1
PL/M|_$^../concepts/pl-m.html|_$^lit plm|_$^2
Seed7|_$^../concepts/seed7.html|_$^sd7 s7i|_$^2
Kal|_$^../concepts/kal.html|_$^kal|_$^1
GraphIt|_$^../concepts/graph-it.html|_$^gt|_$^1
ToffeeScript|_$^../concepts/toffeescript.html|_$^toffee|_$^1
heap.coffee|_$^../concepts/heap.coffee.html|_$^coffee|_$^1
buzz|_$^../concepts/buzz.html|_$^buzz|_$^1
JSX|_$^../concepts/jsx.html|_$^jsx|_$^1
XAML|_$^../concepts/xaml.html|_$^xaml|_$^1
Netwide Assembler|_$^../concepts/nasm.html|_$^asm ASM|_$^2
Augmented Backus-Naur Form|_$^../concepts/abnf.html|_$^abnf|_$^1
FreeBASIC|_$^../concepts/freebasic.html|_$^bi bas|_$^2
ASN.1|_$^../concepts/asn-1.html|_$^asn asn1|_$^2
Mako|_$^../concepts/mako.html|_$^mako mao|_$^2
Linden Scripting Language|_$^../concepts/lsl.html|_$^lsl lslp|_$^2
astro|_$^../concepts/astro.html|_$^astro|_$^1
Opal|_$^../concepts/opal.html|_$^opal|_$^1
Curry|_$^../concepts/curry.html|_$^curry|_$^1
Oxygene|_$^../concepts/oxygene.html|_$^oxygene|_$^1
TAP|_$^../concepts/tap.html|_$^tap|_$^1
Gentoo Ebuild|_$^../concepts/gentoo-ebuild.html|_$^ebuild|_$^1
Uno|_$^../concepts/uno.html|_$^uno|_$^1
DM|_$^../concepts/dm.html|_$^dm dmf|_$^2
NestedText|_$^../concepts/nestedtext.html|_$^nt|_$^1
PogoScript|_$^../concepts/pogoscript.html|_$^pogo|_$^1
Vyxal|_$^../concepts/vyxal.html|_$^vy vyxal|_$^2
NetLinx|_$^../concepts/netlinx.html|_$^axserb axierb axs axi|_$^4
Nu|_$^../concepts/nu.html|_$^nu|_$^1
MAXScript|_$^../concepts/maxscript.html|_$^ms mcr|_$^2
Jule|_$^../concepts/jule.html|_$^.jule|_$^1
Basis Codec|_$^../concepts/basis-universal-format.html|_$^basis|_$^1
Eclipse Command Language|_$^../concepts/eclipse-command-language.html|_$^ecl|_$^1
Bro|_$^../concepts/bro.html|_$^bro|_$^1
FloScript|_$^../concepts/floscript.html|_$^flo|_$^1
Jasmin|_$^../concepts/jasmin.html|_$^j|_$^1
Jison Lex|_$^../concepts/jison-lex.html|_$^jisonlex|_$^1
CSV|_$^../concepts/csv.html|_$^csv|_$^1
Bluespec|_$^../concepts/bluespec.html|_$^bsv|_$^1
Carbon|_$^../concepts/carbon.html|_$^carbon|_$^1
HyPhy|_$^../concepts/hyphy.html|_$^bf|_$^1
Game Maker Language|_$^../concepts/game-maker-language.html|_$^gml|_$^1
BitBake|_$^../concepts/bitbake.html|_$^bb|_$^1
Cirru|_$^../concepts/cirru.html|_$^cirru|_$^1
Coco|_$^../concepts/coco.html|_$^co|_$^1
Z|_$^../concepts/z-expressions.html|_$^zz|_$^1
crmsh|_$^../concepts/crmsh.html|_$^crmsh pcmk|_$^2
Spin|_$^../concepts/spin.html|_$^spin|_$^1
GN|_$^../concepts/generate-ninja.html|_$^gn gni|_$^2
Unicon|_$^../concepts/unicon.html|_$^icn|_$^1
Cycript|_$^../concepts/cycript.html|_$^cy|_$^1
SMT|_$^../concepts/smt.html|_$^smt2 smt|_$^2
EML|_$^../concepts/mbox.html|_$^eml mbox|_$^2
Redcode|_$^../concepts/redcode.html|_$^cw|_$^1
monte|_$^../concepts/monte.html|_$^mt|_$^1
PIC|_$^../concepts/pic.html|_$^pic chem|_$^2
Sibilant|_$^../concepts/sibilant.html|_$^sibilant|_$^1
Jolie|_$^../concepts/jolie.html|_$^ol iol|_$^2
Slice|_$^../concepts/slice.html|_$^ice|_$^1
vyper|_$^../concepts/vyper.html|_$^vy|_$^1
Caffeine|_$^../concepts/caffeine.html|_$^coffee|_$^1
JSONiq|_$^../concepts/jsoniq.html|_$^jq|_$^1
Functional PHP Preprocessor|_$^../concepts/fpp.html|_$^fpp|_$^1
Asymptote|_$^../concepts/asymptote.html|_$^asy|_$^1
FreeMarker|_$^../concepts/freemarker.html|_$^ftl|_$^1
Blade|_$^../concepts/blade.html|_$^blade blade.php bladephp|_$^3
JSON Lines|_$^../concepts/ld-json.html|_$^ldj jsonl|_$^2
HiveQL|_$^../concepts/hiveql.html|_$^q hql|_$^2
LoomScript|_$^../concepts/loomscript.html|_$^ls|_$^1
COMPONENT PASCAL|_$^../concepts/component-pascal.html|_$^cp cps|_$^2
Nymph|_$^../concepts/nymph.html|_$^n|_$^1
tcsh|_$^../concepts/tcsh.html|_$^tcsh csh|_$^2
Rouge|_$^../concepts/rouge.html|_$^rg|_$^1
GAMS|_$^../concepts/general-algebraic-modeling-system.html|_$^gms|_$^1
MiniD|_$^../concepts/minid.html|_$^minid|_$^1
Sieve mail filtering language|_$^../concepts/sieve.html|_$^sieve siv|_$^2
BBC BASIC|_$^../concepts/bbc-basic.html|_$^bbc|_$^1
WebIDL|_$^../concepts/web-idl.html|_$^webidl|_$^1
ROFF|_$^../concepts/roff.html|_$^roff 1 1in 1m 1x 2 3 3in 3m 3p 3pm 3qt 3x 4 5 6 7 8 9 l man mdoc me ms n nr rno tmac|_$^28
Grace|_$^../concepts/grace.html|_$^grace|_$^1
Qore|_$^../concepts/qore.html|_$^q qm qtest|_$^3
STON|_$^../concepts/ston.html|_$^ston|_$^1
Pep8|_$^../concepts/pep8.html|_$^pep|_$^1
Ezhil|_$^../concepts/ezhil.html|_$^n|_$^1
1C Enterprise Script|_$^../concepts/1c-enterprise.html|_$^bsl os|_$^2
CartoCSS|_$^../concepts/cartocss.html|_$^mss|_$^1
Eagle|_$^../concepts/eagle.html|_$^sch brd|_$^2
GorillaScript|_$^../concepts/gorillascript.html|_$^gs|_$^1
XS|_$^../concepts/xs.html|_$^xs|_$^1
pointless|_$^../concepts/pointless.html|_$^ptls|_$^1
Gren|_$^../concepts/gren.html|_$^gren|_$^1
QMake|_$^../concepts/qmake.html|_$^pro pri|_$^2
EEX|_$^../concepts/eex.html|_$^eex htmlheex htmlleex|_$^3
Grammatical Framework|_$^../concepts/grammatical-framework.html|_$^gf|_$^1
video|_$^../concepts/video.html|_$^.rkt|_$^1
LookML|_$^../concepts/lookml.html|_$^lookml modellkml viewlkml|_$^3
PEG|_$^../concepts/peg.html|_$^peg|_$^1
Nadesiko|_$^../concepts/nadesiko.html|_$^nako nako3|_$^2
Yorick|_$^../concepts/yorick.html|_$^i|_$^1
RenderScript|_$^../concepts/renderscript.html|_$^rs rsh|_$^2
SRecode Template|_$^../concepts/srecode-template.html|_$^srt|_$^1
Type Language|_$^../concepts/type-language.html|_$^tl|_$^1
Hare|_$^../concepts/hare.html|_$^ha|_$^1
LinearML|_$^../concepts/linearml.html|_$^lml|_$^1
Smiles|_$^../concepts/smiles-format.html|_$^smi|_$^1
CWEB|_$^../concepts/cweb.html|_$^w|_$^1
Umka|_$^../concepts/umka.html|_$^um|_$^1
Brightscript|_$^../concepts/roku-brightscript.html|_$^brs|_$^1
Adventure Game Studio Script|_$^../concepts/ags-script.html|_$^asc ash|_$^2
Kit|_$^../concepts/kit.html|_$^kit|_$^1
UPC|_$^../concepts/unified-parallel-c.html|_$^upc|_$^1
Savi|_$^../concepts/savi.html|_$^savi|_$^1
KRL|_$^../concepts/krl.html|_$^krl|_$^1
Edje Data Collection|_$^../concepts/edje-data-collection.html|_$^edc|_$^1
GCC Machine Description|_$^../concepts/gcc-machine-description.html|_$^md|_$^1
ShaderLab|_$^../concepts/shaderlab.html|_$^shader|_$^1
Hierarchical Data Format|_$^../concepts/hdf.html|_$^hdf h4 hdf4 he2 h5 hdf5 he5|_$^7
MOO|_$^../concepts/moo.html|_$^moo|_$^1
Charity|_$^../concepts/charity.html|_$^ch|_$^1
Jupyter Notebook|_$^../concepts/jupyter-notebook.html|_$^ipynb|_$^1
GNU Assembler|_$^../concepts/gas.html|_$^s S|_$^2
Creole|_$^../concepts/creole.html|_$^creole|_$^1
Pharen|_$^../concepts/pharen.html|_$^phn|_$^1
Inno Setup|_$^../concepts/inno-setup.html|_$^iss isl|_$^2
ApacheConf|_$^../concepts/apacheconf.html|_$^apacheconf vhost .htaccess apache.conf apache2.conf|_$^5
plam|_$^../concepts/plam.html|_$^plam|_$^1
HXML|_$^../concepts/hxml.html|_$^hxml|_$^1
RHTML|_$^../concepts/rhtml.html|_$^rhtml|_$^1
Slideshow|_$^../concepts/slideshow.html|_$^.rkt|_$^1
Aheui|_$^../concepts/aheui.html|_$^aheui|_$^1
SpiderBasic|_$^../concepts/spiderbasic.html|_$^pb|_$^1
FOCUS|_$^../concepts/focus.html|_$^focexec|_$^1
ObjectScript|_$^../concepts/objectscript.html|_$^cls|_$^1
Dasm|_$^../concepts/dasm.html|_$^dasm16 dasm|_$^2
Elpi|_$^../concepts/elpi.html|_$^elpi|_$^1
Pod|_$^../concepts/pod.html|_$^pod|_$^1
FAUST|_$^../concepts/faust.html|_$^dsp|_$^1
Uniform eXchange Format|_$^../concepts/uxf.html|_$^uxf, ux*|_$^2
Recfiles|_$^../concepts/recfiles.html|_$^rec|_$^1
QOIR|_$^../concepts/qoir.html|_$^qoir|_$^1
Jisp|_$^../concepts/jisp.html|_$^jisp|_$^1
Xgboost|_$^../concepts/xgboost-model.html|_$^model|_$^1
Glyph|_$^../concepts/glyph.html|_$^glf|_$^1
XPages|_$^../concepts/xpages.html|_$^xsp-config xspmetadata|_$^2
ugBASIC|_$^../concepts/ugbasic.html|_$^.bas|_$^1
Object Rexx|_$^../concepts/object-rexx.html|_$^rxs rex|_$^2
OpenVera|_$^../concepts/openvera.html|_$^vr|_$^1
Spline Font Database|_$^../concepts/spline-font-database.html|_$^sfd|_$^1
SQF|_$^../concepts/status-quo-function.html|_$^sqf hqf|_$^2
juniper|_$^../concepts/juniper.html|_$^junos|_$^1
JS++|_$^../concepts/jspp.html|_$^jspp|_$^1
Gerber Image|_$^../concepts/gerber-image.html|_$^gbr cmp gbl gbo gbp gbs gko gml gpb gpt gtl gto gtp gts ncl sol|_$^16
MXML|_$^../concepts/mxml.html|_$^mxml|_$^1
SMC|_$^../concepts/smc.html|_$^sm|_$^1
Parrot|_$^../concepts/parrot-vm.html|_$^parrot|_$^1
RDoc|_$^../concepts/rdoc.html|_$^rdoc|_$^1
Frank|_$^../concepts/frank-lang.html|_$^fk|_$^1
zenscript|_$^../concepts/zenscript.html|_$^zs|_$^1
clarity|_$^../concepts/clarity.html|_$^clar|_$^1
XProc|_$^../concepts/xproc.html|_$^xpl xproc|_$^2
Speedie|_$^../concepts/speedie.html|_$^spd scproj|_$^2
parasail|_$^../concepts/parasail.html|_$^.psi .psl psi psl|_$^4
Augeas|_$^../concepts/augeas.html|_$^aug|_$^1
Scala Markup Language|_$^../concepts/scaml.html|_$^scaml|_$^1
Blender|_$^../concepts/blender-app.html|_$^blend|_$^1
Snap!|_$^../concepts/snap.html|_$^ypr ysp xml|_$^3
Candy|_$^../concepts/candy.html|_$^candy|_$^1
COLLADA|_$^../concepts/collada.html|_$^dae|_$^1
winxed|_$^../concepts/winxed.html|_$^winxed|_$^1
DataWeave|_$^../concepts/dataweave.html|_$^dwl|_$^1
desktop|_$^../concepts/desktop.html|_$^desktop desktopin service|_$^3
Literate Haskell|_$^../concepts/literate-haskell.html|_$^lhs|_$^1
OpenType Feature File|_$^../concepts/opentype-feature-file.html|_$^fea|_$^1
RUNOFF|_$^../concepts/runoff.html|_$^rnh rno|_$^2
Rescript|_$^../concepts/rescript.html|_$^res resi|_$^2
Simple Actor Language System and Architecture|_$^../concepts/salsa.html|_$^salsa|_$^1
Umple|_$^../concepts/umple.html|_$^ump|_$^1
SQLPL|_$^../concepts/sqlpl.html|_$^sql db2|_$^2
Easytrieve|_$^../concepts/easytrieve.html|_$^ezt mac|_$^2
MXF|_$^../concepts/material-exchange-format.html|_$^mxf|_$^1
Wavefront Object|_$^../concepts/wavefront-object.html|_$^obj|_$^1
Rita|_$^../concepts/rita.html|_$^rita|_$^1
Newspeak|_$^../concepts/newspeak.html|_$^ns2|_$^1
Fjölnir|_$^../concepts/fjolnir.html|_$^fjo fjv sma ein|_$^4
TAL|_$^../concepts/tal.html|_$^tal|_$^1
Omgrofl|_$^../concepts/omgrofl.html|_$^omgrofl|_$^1
TXL|_$^../concepts/txl.html|_$^txl|_$^1
Darcs Advanced Revision Control System|_$^../concepts/darcs.html|_$^darcspatch dpatch|_$^2
UCG|_$^../concepts/ucg.html|_$^ucg|_$^1
Kaffeine|_$^../concepts/kaffeine.html|_$^k|_$^1
DNS Zone|_$^../concepts/zone.html|_$^zone arpa|_$^2
Pawn|_$^../concepts/pawn-scripting-language.html|_$^pwn inc sma p|_$^4
Miva|_$^../concepts/miva.html|_$^mv mvc mvt|_$^3
ObjDump|_$^../concepts/objdump.html|_$^objdump|_$^1
Crap|_$^../concepts/crap.html|_$^crap c hh so|_$^4
Boron|_$^../concepts/boron.html|_$^b sb|_$^2
Groovy Server Pages|_$^../concepts/groovy-server-pages.html|_$^gsp|_$^1
NL|_$^../concepts/nl.html|_$^nl|_$^1
Multi-User Forth|_$^../concepts/muf.html|_$^muf m|_$^2
M4Sugar|_$^../concepts/m4sugar.html|_$^m4|_$^1
Varnish Configuration Language|_$^../concepts/vcl.html|_$^vcl|_$^1
Glyph Bitmap Distribution Format|_$^../concepts/glyph-bitmap-distribution-format.html|_$^bdf|_$^1
SIL|_$^../concepts/swift-il.html|_$^sil|_$^1
XC|_$^../concepts/xc.html|_$^xc|_$^1
CLAIRE|_$^../concepts/claire.html|_$^cl|_$^1
Sugar|_$^../concepts/sugar.html|_$^sjs|_$^1
Cadence SKILL|_$^../concepts/cadence-skill.html|_$^il|_$^1
Urbiscript|_$^../concepts/urbiscript.html|_$^u|_$^1
Graph Modeling Language|_$^../concepts/graph-modeling-language.html|_$^gml|_$^1
Kuin|_$^../concepts/kuin.html|_$^kn|_$^1
Q#|_$^../concepts/q-sharp.html|_$^qs|_$^1
XSD|_$^../concepts/xsd.html|_$^XSD xsd|_$^2
UnrealScript|_$^../concepts/unrealscript.html|_$^uc|_$^1
GIF|_$^../concepts/gif.html|_$^gif|_$^1
Ham|_$^../concepts/ham.html|_$^ham|_$^1
NWScript|_$^../concepts/nwscript.html|_$^nss|_$^1
PIR|_$^../concepts/parrot-internal-representation.html|_$^pir|_$^1
Subleq|_$^../concepts/subleq.html|_$^sq|_$^1
Hot Cocoa Lisp|_$^../concepts/hotcocoalisp.html|_$^hcl|_$^1
Promela|_$^../concepts/promela.html|_$^pml|_$^1
CSpydr|_$^../concepts/cspydr.html|_$^csp|_$^1
RigC|_$^../concepts/rigc.html|_$^rigc|_$^1
Ren|_$^../concepts/ren-notation.html|_$^ren|_$^1
DIGITAL Command Language|_$^../concepts/digital-command-language.html|_$^com|_$^1
Horse64|_$^../concepts/horse64.html|_$^h64|_$^1
Bizubee|_$^../concepts/bizubee.html|_$^jsl|_$^1
nimrod|_$^../concepts/nimrod.html|_$^nim nimrod|_$^2
Property list|_$^../concepts/plist.html|_$^plist|_$^1
CoNLL-U|_$^../concepts/conll-u.html|_$^conllu conll|_$^2
FIGlet Font|_$^../concepts/figlet-font.html|_$^flf|_$^1
RPM Spec|_$^../concepts/rpm-spec.html|_$^spec|_$^1
Velocity Template Language|_$^../concepts/vtl-lang.html|_$^vm vtl|_$^2
IPL|_$^../concepts/intuitionistic.html|_$^ipl|_$^1
AmbientTalk|_$^../concepts/ambienttalk.html|_$^at|_$^1
Shapefile|_$^../concepts/shapefile.html|_$^shp shx dbf|_$^3
beads-lang|_$^../concepts/beads-lang.html|_$^beads|_$^1
TSV|_$^../concepts/tsv.html|_$^tsv|_$^1
ATLAS Transformation Language|_$^../concepts/atlas.html|_$^atl|_$^1
Boogie|_$^../concepts/boogie.html|_$^bpl|_$^1
epsilon|_$^../concepts/epsilon.html|_$^eol|_$^1
PromQL|_$^../concepts/promql.html|_$^promql|_$^1
Spice|_$^../concepts/spice.html|_$^spice|_$^1
Zimpl|_$^../concepts/zimpl.html|_$^zimpl zmpl zpl|_$^3
formality|_$^../concepts/formality.html|_$^fm|_$^1
Programming Language for Business|_$^../concepts/plb.html|_$^rl ps cb|_$^3
Genshi|_$^../concepts/genshi.html|_$^kid|_$^1
XML Metadata Interchange|_$^../concepts/xmi.html|_$^XMI xmi|_$^2
Storymatic|_$^../concepts/storymatic.html|_$^coffee|_$^1
Macchiato|_$^../concepts/macchiato.html|_$^at|_$^1
Tree and Tabular Combined Notation|_$^../concepts/ttcn.html|_$^ttcn ttcn2 ttcn3 ttcnpp|_$^4
ten|_$^../concepts/ten.html|_$^ten|_$^1
hoon|_$^../concepts/hoon.html|_$^hoon|_$^1
boa|_$^../concepts/boa.html|_$^boa|_$^1
mint|_$^../concepts/mint.html|_$^mint|_$^1
RQL|_$^../concepts/rql.html|_$^rql|_$^1
SARL|_$^../concepts/sarl.html|_$^sarl|_$^1
stella|_$^../concepts/stella.html|_$^ste|_$^1
verifpal|_$^../concepts/verifpal.html|_$^vp|_$^1
RTF|_$^../concepts/rtf.html|_$^rtf|_$^1
holyc|_$^../concepts/holyc.html|_$^HC hc|_$^2
plantuml|_$^../concepts/plantuml.html|_$^iuml plantuml pu puml wsd|_$^5
plink-ped-format|_$^../concepts/plink-ped-format.html|_$^ped|_$^1
Adobe Font Metrics|_$^../concepts/adobe-font-metrics.html|_$^afm|_$^1
SubRip Text|_$^../concepts/subrip-text.html|_$^srt|_$^1
Wavefront Material|_$^../concepts/wavefront-material.html|_$^mtl|_$^1
World of Warcraft Addon Data|_$^../concepts/world-of-warcraft-addon-data.html|_$^toc|_$^1
Breccia|_$^../concepts/breccia.html|_$^brec|_$^1
Kami|_$^../concepts/kami.html|_$^km|_$^1
Link|_$^../concepts/link.html|_$^link|_$^1
Plain text|_$^../concepts/txt.html|_$^txt|_$^1
bag-format|_$^../concepts/bag-format.html|_$^bag|_$^1
Nasal|_$^../concepts/nasal.html|_$^nas|_$^1
Typst|_$^../concepts/typst.html|_$^typ|_$^1
CBOR data definition language|_$^../concepts/cddl.html|_$^cddl|_$^1
Finite State Language|_$^../concepts/fsl.html|_$^fsl jssm|_$^2
Module Management System|_$^../concepts/module-management-system.html|_$^mms mmk|_$^2
Soy|_$^../concepts/soy.html|_$^soy|_$^1
X BitMap|_$^../concepts/x-bitmap.html|_$^xbm|_$^1
X PixMap|_$^../concepts/x-pixmap.html|_$^xpm pm|_$^2
Z-flat|_$^../concepts/z-flat.html|_$^zf|_$^1
CheetahTemplate|_$^../concepts/cheetah.html|_$^tmpl spt|_$^2
XHTML|_$^../concepts/xhtml.html|_$^xhtml|_$^1
ASP.NET|_$^../concepts/asp.net.html|_$^asax ascx asmx aspx master sitemap webinfo ashx axd|_$^9
TI-89 series|_$^../concepts/ti-89-basic.html|_$^89p|_$^1
ca65 Assembly|_$^../concepts/ca65-assembly.html|_$^s|_$^1
GAML|_$^../concepts/gaml.html|_$^gaml|_$^1
Literate Agda|_$^../concepts/literate-agda.html|_$^lagda|_$^1
rbs|_$^../concepts/rbs.html|_$^rbs|_$^1
BARE|_$^../concepts/bare.html|_$^bare|_$^1
Freefem|_$^../concepts/freefem.html|_$^edp|_$^1
Mscgen|_$^../concepts/mscgen.html|_$^msc|_$^1
Marine Trading Markup Language|_$^../concepts/mtml.html|_$^mtml|_$^1
plink-bed-format|_$^../concepts/plink-bed-format.html|_$^bed|_$^1
plink-map-format|_$^../concepts/plink-map-format.html|_$^map|_$^1
Procfile|_$^../concepts/procfile.html|_$^Procfile|_$^1
FXML|_$^../concepts/fxml.html|_$^fxml|_$^1
Parrot Assembly|_$^../concepts/parrot-assembly.html|_$^pasm|_$^1
Moose64|_$^../concepts/moose64.html|_$^m64|_$^1
SubX|_$^../concepts/subx.html|_$^subx|_$^1
Zeek|_$^../concepts/zeek.html|_$^zeek bro|_$^2
Linux Kernel Module|_$^../concepts/linux-kernel-module.html|_$^ko mod|_$^2
D++|_$^../concepts/dpp.html|_$^dpp dpl|_$^2
mpl|_$^../concepts/mpl.html|_$^mpl|_$^1
PacmanConf|_$^../concepts/pacmanconf.html|_$^pacman.conf|_$^1
Pickle|_$^../concepts/pickle-format.html|_$^pkl|_$^1
PkgConfig|_$^../concepts/pkgconfig.html|_$^pc|_$^1
plink-bim-format|_$^../concepts/plink-bim-format.html|_$^bim|_$^1
plink-fam-format|_$^../concepts/plink-fam-format.html|_$^fam|_$^1
skew|_$^../concepts/skew.html|_$^sk|_$^1
USD|_$^../concepts/usd.html|_$^usd usda|_$^2
Windows Registry Entries|_$^../concepts/windows-registry-entries.html|_$^reg|_$^1
WebP|_$^../concepts/webp.html|_$^webp|_$^1
Razor|_$^../concepts/razor.html|_$^cshtml razor|_$^2
Fortran 90|_$^../concepts/fortran-90.html|_$^F90 f90|_$^2
4th Dimension|_$^../concepts/4th-dimension.html|_$^4dm|_$^1
Linker Script|_$^../concepts/linker-script.html|_$^ld lds x|_$^3
Myghty|_$^../concepts/myghty.html|_$^myt autodelegate|_$^2
RAISE Specification Language|_$^../concepts/rsl.html|_$^rsl|_$^1
SquidConf|_$^../concepts/squidconf.html|_$^squid.conf|_$^1
Zip file format|_$^../concepts/zip-format.html|_$^zip|_$^1
Sweave|_$^../concepts/sweave.html|_$^rnw|_$^1
Todotxt|_$^../concepts/todotxt.html|_$^todo.txt todotxt|_$^2
Autoconf|_$^../concepts/autoconf.html|_$^ac|_$^1
Hera|_$^../concepts/hera.html|_$^hera|_$^1
Devicetree|_$^../concepts/devicetree.html|_$^dts dtsi|_$^2
Extempore|_$^../concepts/extempore.html|_$^xtm|_$^1
git-config|_$^../concepts/git-config.html|_$^gitconfig|_$^1
OMG IDL|_$^../concepts/omg-idl.html|_$^idl pidl|_$^2
pyke|_$^../concepts/pyke.html|_$^fb krb kqb|_$^3
Smithy|_$^../concepts/smithy.html|_$^smithy|_$^1
Typoscript|_$^../concepts/typoscript.html|_$^typoscript|_$^1
TASM|_$^../concepts/tasm.html|_$^asm ASM tasm|_$^3
Parasolid|_$^../concepts/parasolid.html|_$^x_t x_b|_$^2
ColdFusion Components|_$^../concepts/coldfusion-components.html|_$^cfc|_$^1
TypeScript Type Declarations|_$^../concepts/dts.html|_$^d.ts|_$^1
Genero Business Development Language|_$^../concepts/genero.html|_$^4gl|_$^1
phylip|_$^../concepts/phylip.html|_$^phy ph|_$^2
Pluk|_$^../concepts/pluk.html|_$^.pluk|_$^1
