List of File Extensions
=======================

Here is the list of 1,761 unique file extensions across 808 languages in PLDB.

name|_$^nameLink|_$^extensions|_$^numberOfExtensions
Crystal|_$^../concepts/crystal.html|_$^cr|_$^1
Fortran|_$^../concepts/fortran.html|_$^f for f90 f95 f03 f08 f15 f77 fpp F03 F90|_$^11
Zig|_$^../concepts/zig.html|_$^zig|_$^1
D|_$^../concepts/d.html|_$^d di|_$^2
Reason|_$^../concepts/reason.html|_$^re rei|_$^2
Elm|_$^../concepts/elm.html|_$^elm|_$^1
Scheme|_$^../concepts/scheme.html|_$^scm ss sc sch sld sps sls|_$^7
WebAssembly|_$^../concepts/wasm.html|_$^wasm wast wat|_$^3
Haxe|_$^../concepts/haxe.html|_$^hx hxml hxsl|_$^3
GraphQL|_$^../concepts/graphql.html|_$^gql graphql graphqls|_$^3
Groovy|_$^../concepts/groovy.html|_$^groovy gant grt gtpl gvy jenkinsfile gradle|_$^7
awk|_$^../concepts/awk.html|_$^auk awk gawk mawk nawk|_$^5
Tex|_$^../concepts/tex.html|_$^aux bbx bib bst cbx dtx ins lbx ltx mkii mkiv mkvi sty tex cls toc|_$^16
Pug|_$^../concepts/pug.html|_$^jade pug|_$^2
F#|_$^../concepts/f-sharp.html|_$^fs fsi fsx fsscript|_$^4
OCaml|_$^../concepts/ocaml.html|_$^ml mli eliom eliomi ml4 mll mly|_$^7
Coq|_$^../concepts/coq.html|_$^v coq|_$^2
Chapel|_$^../concepts/chapel.html|_$^chpl|_$^1
LLVM IR|_$^../concepts/llvmir.html|_$^ll|_$^1
Smalltalk|_$^../concepts/smalltalk.html|_$^st cs|_$^2
SVG|_$^../concepts/svg.html|_$^SVG svg|_$^2
ClojureScript|_$^../concepts/clojurescript.html|_$^cljs|_$^1
HCL|_$^../concepts/hcl.html|_$^hcl nomad tf tfvars workflow|_$^5
HAML|_$^../concepts/haml.html|_$^haml haml.deface hamldeface|_$^3
PureScript|_$^../concepts/purescript.html|_$^purs|_$^1
VHDL|_$^../concepts/vhdl.html|_$^VHD vhd VHDL vhdl vhf vhi vho vhs vht vhw|_$^10
Liquid|_$^../concepts/liquid.html|_$^liquid|_$^1
Forth|_$^../concepts/forth.html|_$^4th e4 f83 fb forth fpm fr frt ft fth rx fs f for|_$^14
Idris|_$^../concepts/idris.html|_$^idr lidr|_$^2
Protocol Buffers|_$^../concepts/protobuf.html|_$^proto|_$^1
Ini|_$^../concepts/ini.html|_$^buildozer.spec editorconfig ini lektorproject prefs cfg dof pro properties url inf .editorconfig service socket device mount automount swap target path timer slice scope|_$^23
