id	homepage	gits	pldbInterview	twitter	born	died	wikipedia	country	primaryLink
Steve Furber					1953		https://en.wikipedia.org/wiki/Steve_Furber	United Kingdom	https://en.wikipedia.org/wiki/Steve_Furber
Steve Omohundro					1959		https://en.wikipedia.org/wiki/Steve_Omohundro	United States	https://en.wikipedia.org/wiki/Steve_Omohundro
Travis Oliphant	https://technicaldiscovery.blogspot.com/	https://github.com/teoliphant		https://x.com/teoliphant	1971		https://en.wikipedia.org/wiki/Travis_Oliphant	United States	https://technicaldiscovery.blogspot.com/
Jordan Walke		https://github.com/jordwalke		https://x.com/jordwalke				United States	https://github.com/jordwalke
Wes McKinney	https://wesmckinney.com/	https://github.com/wesm		https://x.com/wesmckinn	1985		https://en.wikipedia.org/wiki/Wes_McKinney	United States	https://wesmckinney.com/
Christopher Chedeau	https://blog.vjeux.com/	https://github.com/vjeux		https://twitter.com/vjeux				France	https://blog.vjeux.com/
Thomas E. Kurtz					1928		https://en.wikipedia.org/wiki/Thomas_E._Kurtz	United States	https://en.wikipedia.org/wiki/Thomas_E._Kurtz
Tim Berners-Lee	https://www.w3.org/People/Berners-Lee/	https://github.com/timbl		https://x.com/timberners_lee	1955		https://en.wikipedia.org/wiki/Tim_Berners-Lee	United Kingdom	https://www.w3.org/People/Berners-Lee/
Tobias Lütke					1980		https://en.wikipedia.org/wiki/Tobias_Lütke	Canada	https://en.wikipedia.org/wiki/Tobias_Lütke
Tom Preston-Werner	https://tom.preston-werner.com/	https://github.com/mojombo/		https://x.com/mojombo/	1979		https://en.wikipedia.org/wiki/Tom_Preston-Werner	United States	https://tom.preston-werner.com/
Vern Paxson					1969		https://en.wikipedia.org/wiki/Vern_Paxson	United States	https://en.wikipedia.org/wiki/Vern_Paxson
Viral B. Shah					1980		https://en.wikipedia.org/wiki/Viral_B._Shah	India	https://en.wikipedia.org/wiki/Viral_B._Shah
John-David Dalton		https://github.com/jdalton		https://x.com/jdalton				United States	https://github.com/jdalton
Markus Alexej Persson	http://notch.net/	https://github.com/xNotch		https://x.com/notch	1979		https://en.wikipedia.org/wiki/Markus_Persson	Sweden	http://notch.net/
Caspian Prince		https://github.com/princec						United Kingdom	https://github.com/princec
Walter Bright					1957		https://en.wikipedia.org/wiki/Walter_Bright	United States	https://en.wikipedia.org/wiki/Walter_Bright
Xavier Leroy					1968		https://en.wikipedia.org/wiki/Xavier_Leroy	France	https://en.wikipedia.org/wiki/Xavier_Leroy
Yukihiro Matsumoto		https://github.com/matz			1965		https://en.wikipedia.org/wiki/Yukihiro_Matsumoto	Japan	https://github.com/matz
Cornelis H. A. Koster					1943	2013	https://en.wikipedia.org/wiki/Cornelis_H._A._Koster	Netherlands	https://en.wikipedia.org/wiki/Cornelis_H._A._Koster
Stevan Apter	https://nsl.com/			https://x.com/nostinkingloops				United States	https://nsl.com/
John Earnest	https://beyondloom.com/	https://github.com/johnearnest						United States	https://beyondloom.com/
Chris Klimas	https://chrisklimas.com/	https://github.com/klembot						United States	https://chrisklimas.com/
Leon Arnott	https://fairysvoice.net/							Australia	https://fairysvoice.net/
Adam Le Doux	https://ledoux.itch.io/	https://github.com/le-doux						United States	https://ledoux.itch.io/
Dan Cox	http://dancox.me/	https://github.com/videlais						United States	http://dancox.me/
Jim Ellis					1956	2001	https://en.wikipedia.org/wiki/Jim_Ellis_(computing)	United States	https://en.wikipedia.org/wiki/Jim_Ellis_(computing)
Tom Truscott							https://en.wikipedia.org/wiki/Tom_Truscott	United States	https://en.wikipedia.org/wiki/Tom_Truscott
Marc Andreessen				https://x.com/pmarca	1971		https://en.wikipedia.org/wiki/Marc_Andreessen	United States	https://x.com/pmarca
Eric Bina					1964		https://en.wikipedia.org/wiki/Eric_Bina	United States	https://en.wikipedia.org/wiki/Eric_Bina
Phil Lapsley	https://explodingthephone.com/contact.php				1965		https://en.wikipedia.org/wiki/Phil_Lapsley	United States	https://explodingthephone.com/contact.php
Jon Postel					1943	1998	https://en.wikipedia.org/wiki/Jon_Postel	United States	https://en.wikipedia.org/wiki/Jon_Postel
Vint Cerf	https://www.internetsociety.org/author/cerf/			https://x.com/vgcerf	1943		https://en.wikipedia.org/wiki/Vint_Cerf	United States	https://www.internetsociety.org/author/cerf/
Bob Kahn					1938		https://en.wikipedia.org/wiki/Robert_Kahn_(computer_scientist)	United States	https://en.wikipedia.org/wiki/Robert_Kahn_(computer_scientist)
Phil Karn					1956		https://en.wikipedia.org/wiki/Phil_Karn	United States	https://en.wikipedia.org/wiki/Phil_Karn
Brian Kantor					1953	2019		United States	
Junio Hamano	https://git-blame.blogspot.com/	https://github.com/gitster		https://x.com/jch2355			https://simple.wikipedia.org/wiki/Junio_Hamano	Japan	https://git-blame.blogspot.com/
Juan Benet	https://juan.benet.ai/	https://github.com/jbenet		https://x.com/juanbenet				United States	https://juan.benet.ai/
Bram Cohen	https://bramcohen.com/	https://github.com/bramcohen		https://x.com/bramcohen	1975		https://en.wikipedia.org/wiki/Bram_Cohen	United States	https://bramcohen.com/
Eugen Rochko		https://github.com/Gargron			1993		https://en.wikipedia.org/wiki/Eugen_Rochko	Germany	https://github.com/Gargron
Paul J. Leach				https://x.com/paulleach51				United States	https://x.com/paulleach51
Jon Skinner	https://www.sublimetext.com/blog/articles/anatomy-of-a-next-generation-text-editor							Australia	https://www.sublimetext.com/blog/articles/anatomy-of-a-next-generation-text-editor
Nick Noble	https://nicknoble.works/	https://github.com/nickisnoble		https://x.com/nickisnoble				United States	https://nicknoble.works/
Andreas Kling	https://www.youtube.com/@awesomekling	https://github.com/awesomekling		https://x.com/awesomekling				Germany	https://www.youtube.com/@awesomekling
Arno Gourdol	https://www.arno.org/	https://github.com/arnog						France	https://www.arno.org/
Maurice Machado		https://github.com/mauricemach		https://x.com/mauricemach				Brazil	https://github.com/mauricemach
Richard Kelsey	https://mumble.net/~kelsey/							United States	https://mumble.net/~kelsey/
Jonathan Rees	https://mumble.net/~jar/							United States	https://mumble.net/~jar/
Nate Cull	https://natecull.org/wordpress/	https://gitlab.com/natecull						New Zealand	https://natecull.org/wordpress/
Steven Obua		https://github.com/phlegmaticprogrammer		https://x.com/StevenObua				Germany	https://github.com/phlegmaticprogrammer
Samuel Kelemen		https://github.com/SCKelemen						United States	https://github.com/SCKelemen
Steve Lhomme	https://robux4.blogspot.com/	https://github.com/robUx4		https://x.com/robux4				France	https://robux4.blogspot.com/
Ingi Gauti		https://github.com/ingig		https://x.com/ingig				Iceland	https://github.com/ingig
Richard Greenblatt					1944		https://en.wikipedia.org/wiki/Richard_Greenblatt_(programmer)	United States	https://en.wikipedia.org/wiki/Richard_Greenblatt_(programmer)
Mark Thom				https://x.com/mjt128				United Kingdom	https://x.com/mjt128
Tony Hoare	https://www.cs.ox.ac.uk/people/tony.hoare/				1934		https://en.wikipedia.org/wiki/Tony_Hoare	United Kingdom	https://www.cs.ox.ac.uk/people/tony.hoare/
Danny Hillis				https://x.com/dannyhillis	1956		https://en.wikipedia.org/wiki/Danny_Hillis	United States	https://x.com/dannyhillis
Baku Hashiomoto	https://baku89.com	https://github.com/baku89		https://x.com/_baku89				Japan	https://baku89.com
Daniel Kallin	https://skanaar.github.io/	https://github.com/skanaar	https://pldb.io/blog/danielKallin.html					Sweden	https://skanaar.github.io/
Knut Sveidqvist		https://github.com/knsv		https://x.com/knutsveidqvist				Norway	https://github.com/knsv
Zachary Carter	https://indieweb.social/@zii	https://github.com/zaach		https://x.com/zii				United States	https://indieweb.social/@zii
Robert C. Martin	http://cleancoder.com/products	https://github.com/unclebob		https://x.com/unclebobmartin	1952		https://en.wikipedia.org/wiki/Robert_C._Martin	United States	http://cleancoder.com/products
Amit Patel	https://www.redblobgames.com/	https://github.com/redblobgames		https://x.com/redblobgames				United States	https://www.redblobgames.com/
Robert Muth	http://robert.muth.org/	https://github.com/robertmuth						United States	http://robert.muth.org/
Võ Minh Thu	https://noteed.com/	https://github.com/noteed		https://x.com/noteed				Vietnam	https://noteed.com/
Cyrus Omar	https://web.eecs.umich.edu/~comar/	https://github.com/cyrus-		https://x.com/neurocy				United States	https://web.eecs.umich.edu/~comar/
Stephane Redon				https://www.twitter.com/stephaneredon				France	https://www.twitter.com/stephaneredon
Thomas S. Ray	https://www.tomray.me/				1954		https://en.wikipedia.org/wiki/Thomas_S._Ray	United States	https://www.tomray.me/
tí yè	https://tiye.me/			https://x.com/tiyecirru				China	https://tiye.me/
Zach Leatherman	https://zachleat.com/	https://github.com/zachleat		https://twitter.com/zachleat				United States	https://zachleat.com/
Louis Pilfold	https://lpil.uk/	https://github.com/lpil		https://x.com/louispilfold				United Kingdom	https://lpil.uk/
Jeremie Miller	https://quartzjer.tumblr.com/	https://github.com/quartzjer			1975		https://en.wikipedia.org/wiki/Jeremie_Miller	United States	https://quartzjer.tumblr.com/
Oliver Medhurst	https://goose.icu/	https://github.com/CanadaHonk		https://twitter.com/CanadaHonk	2005			United Kingdom	https://goose.icu/
Victor Taelin		https://github.com/VictorTaelin		https://x.com/VictorTaelin				Brazil	https://github.com/VictorTaelin
Chandler Carruth	https://chandlerc.blog/	https://github.com/chandlerc		https://x.com/chandlerc1024				United States	https://chandlerc.blog/
Jon Ross-Perkins		https://github.com/jonmeow						United States	https://github.com/jonmeow
Carson Gross	https://bigsky.software/cv/	https://github.com/bigskysoftware			1976			United States	https://bigsky.software/cv/
Jarred Sumner	https://jarredsumner.com/	https://github.com/Jarred-Sumner		https://x.com/jarredsumner				United States	https://jarredsumner.com/
Philippe Tillet		https://github.com/ptillet						France	https://github.com/ptillet
Maximilian Roos	http://feedback.maxroos.com/	https://github.com/max-sixty		https://x.com/max_sixty				Netherlands	http://feedback.maxroos.com/
Maxim Gumin		https://github.com/mxgmn		https://x.com/ExUtumno				Russia	https://github.com/mxgmn
Marvin Borner	https://marvinborner.de/	https://github.com/marvinborner						Germany	https://marvinborner.de/
Jonathan Immanuel Brachthäuser	https://b-studios.de/	https://github.com/b-studios		https://x.com/__protected				Germany	https://b-studios.de/
Leon Bambrick	https://secretgeek.net/	https://github.com/secretGeek		https://twitter.com/secretgeek				Australia	https://secretgeek.net/
Peter Saxton	https://petersaxton.uk/	https://github.com/CrowdHailer		https://twitter.com/crowdhailer				Sweden	https://petersaxton.uk/
Liza Daly	https://lizadaly.com/	https://github.com/lizadaly						United States	https://lizadaly.com/
Hayden Adams				https://x.com/haydenzadams	1992			United States	https://x.com/haydenzadams
Illia Polosukhin				https://x.com/ilblackdragon	1989			Ukraine	https://x.com/ilblackdragon
Dan Romero	https://danromero.org/			https://x.com/dwr	1985			United States	https://danromero.org/
Anatoly Yakovenko				https://x.com/aeyakovenko	1982			United States	https://x.com/aeyakovenko
Raj Gokal				https://x.com/rajgokal				United States	https://x.com/rajgokal
Steven M. Drucker	https://stevenmdrucker.github.io	https://github.com/StevenMDrucker	https://pldb.io/blog/stevenDrucker.html	https://x.com/sdrucker			https://en.wikipedia.org/wiki/Steven_M._Drucker	United States	https://stevenmdrucker.github.io
Erica Xu	https://ericaxu.com	https://github.com/ericaxu						United States	https://ericaxu.com
Tom Wright	https://tomwright.me/	https://github.com/TomWright		https://x.com/tomwright1993					https://tomwright.me/
Daniel Stenberg	https://daniel.haxx.se/	https://github.com/bagder/		https://x.com/bagder	1970		https://en.wikipedia.org/wiki/Daniel_Stenberg	Sweden	https://daniel.haxx.se/
Linus Torvalds		https://github.com/torvalds		https://x.com/linus__torvalds	1969		https://en.wikipedia.org/wiki/Linus_Torvalds	Finland	https://github.com/torvalds
Robert Bixby					1945		https://en.wikipedia.org/wiki/Robert_Bixby	United States	https://en.wikipedia.org/wiki/Robert_Bixby
